Date,Open,High,Low,Close,Volume
0-0,50,50,50,50,65535
0-1,50.0999998148149,50.0999998148149,50.0999998148149,50.0999998148149,65535
0-2,50.1999985185218,50.1999985185218,50.1999985185218,50.1999985185218,65535
0-3,50.299995000025,50.299995000025,50.299995000025,50.299995000025,65535
0-4,50.3999881482535,50.3999881482535,50.3999881482535,50.3999881482535,65535
0-5,50.4999768521734,50.4999768521734,50.4999768521734,50.4999768521734,65535
0-6,50.5999600008,50.5999600008,50.5999600008,50.5999600008,65535
0-7,50.6999364832106,50.6999364832106,50.6999364832106,50.6999364832106,65535
0-8,50.7999051885563,50.7999051885563,50.7999051885563,50.7999051885563,65535
0-9,50.8998650060749,50.8998650060749,50.8998650060749,50.8998650060749,65535
0-10,50.9998148251026,50.9998148251026,50.9998148251026,50.9998148251026,65535
0-11,51.099753535087,51.099753535087,51.099753535087,51.099753535087,65535
0-12,51.199680025599,51.199680025599,51.199680025599,51.199680025599,65535
0-13,51.2995931863453,51.2995931863453,51.2995931863453,51.2995931863453,65535
0-14,51.3994919071807,51.3994919071807,51.3994919071807,51.3994919071807,65535
0-15,51.4993750781204,51.4993750781204,51.4993750781204,51.4993750781204,65535
0-16,51.5992415893524,51.5992415893524,51.5992415893524,51.5992415893524,65535
0-17,51.6990903312498,51.6990903312498,51.6990903312498,51.6990903312498,65535
0-18,51.7989201943833,51.7989201943833,51.7989201943833,51.7989201943833,65535
0-19,51.8987300695332,51.8987300695332,51.8987300695332,51.8987300695332,65535
0-20,51.9985188477018,51.9985188477018,51.9985188477018,51.9985188477018,65535
0-21,52.098285420126,52.098285420126,52.098285420126,52.098285420126,65535
0-22,52.1980286782893,52.1980286782893,52.1980286782893,52.1980286782893,65535
0-23,52.2977475139344,52.2977475139344,52.2977475139344,52.2977475139344,65535
0-24,52.3974408190752,52.3974408190752,52.3974408190752,52.3974408190752,65535
0-25,52.4971074860093,52.4971074860093,52.4971074860093,52.4971074860093,65535
0-26,52.5967464073304,52.5967464073304,52.5967464073304,52.5967464073304,65535
0-27,52.6963564759403,52.6963564759403,52.6963564759403,52.6963564759403,65535
0-28,52.7959365850616,52.7959365850616,52.7959365850616,52.7959365850616,65535
0-29,52.8954856282496,52.8954856282496,52.8954856282496,52.8954856282496,65535
0-30,52.9950024994048,52.9950024994048,52.9950024994048,52.9950024994048,65535
0-31,53.0944860927854,53.0944860927854,53.0944860927854,53.0944860927854,65535
0-32,53.1939353030189,53.1939353030189,53.1939353030189,53.1939353030189,65535
0-33,53.2933490251152,53.2933490251152,53.2933490251152,53.2933490251152,65535
0-34,53.3927261544785,53.3927261544785,53.3927261544785,53.3927261544785,65535
0-35,53.4920655869195,53.4920655869195,53.4920655869195,53.4920655869195,65535
0-36,53.5913662186676,53.5913662186676,53.5913662186676,53.5913662186676,65535
0-37,53.6906269463835,53.6906269463835,53.6906269463835,53.6906269463835,65535
0-38,53.7898466671714,53.7898466671714,53.7898466671714,53.7898466671714,65535
0-39,53.8890242785908,53.8890242785908,53.8890242785908,53.8890242785908,65535
0-40,53.9881586786694,53.9881586786694,53.9881586786694,53.9881586786694,65535
0-41,54.0872487659148,54.0872487659148,54.0872487659148,54.0872487659148,65535
0-42,54.1862934393271,54.1862934393271,54.1862934393271,54.1862934393271,65535
0-43,54.2852915984109,54.2852915984109,54.2852915984109,54.2852915984109,65535
0-44,54.3842421431877,54.3842421431877,54.3842421431877,54.3842421431877,65535
0-45,54.483143974208,54.483143974208,54.483143974208,54.483143974208,65535
0-46,54.5819959925636,54.5819959925636,54.5819959925636,54.5819959925636,65535
0-47,54.6807970998997,54.6807970998997,54.6807970998997,54.6807970998997,65535
0-48,54.7795461984274,54.7795461984274,54.7795461984274,54.7795461984274,65535
0-49,54.8782421909353,54.8782421909353,54.8782421909353,54.8782421909353,65535
0-50,54.9768839808024,54.9768839808024,54.9768839808024,54.9768839808024,65535
